rainfall_intensity_mmh,rainfall_24h_mm,rainfall_72h_mm,antecedent_precip_index,soil_moisture_vwc,pore_water_pressure_kpa,slope_deg,elevation_m,lithology_weakness,historical_density,distance_to_road_cut_m,distance_to_drainage_m,sensor_anomaly_score,risk_score,landslide_occurred
1.08,13.32,28.18,56.7,29.01,0.0,33.87,1027.3,3,0.12,47.7,536.2,0.19,26.9,0
3.73,30.87,73.76,96.69,42.01,6.73,38.81,1360.4,2,0.51,136.8,407.5,0.05,68.3,1
2.74,28.19,47.07,62.56,28.95,0.0,28.12,1884.6,4,0.39,153.6,70.4,44.23,65.6,1
3.1,24.92,58.9,54.16,48.3,7.42,19.29,338.4,3,0.84,127.2,360.0,5.22,50.2,0
4.75,43.13,76.82,69.68,37.62,8.21,32.74,1448.2,4,0.84,14.4,554.3,4.15,87.1,1
1.0,11.79,30.24,39.05,18.46,0.0,23.84,1306.2,5,0.22,93.0,62.7,0.02,19.3,0
6.19,26.39,40.04,45.72,36.37,0.0,42.05,2175.4,3,0.51,172.9,424.2,9.29,51.3,0
2.18,26.76,66.42,78.46,37.91,0.0,26.2,1467.5,2,0.01,26.9,1073.4,12.49,49.7,0
7.23,35.27,54.31,64.18,33.39,0.0,48.62,588.4,4,0.78,51.4,287.6,3.21,78.1,1
6.54,61.74,162.61,128.04,62.26,22.63,35.95,1116.2,1,2.87,27.3,89.0,19.32,97.1,1
2.75,11.68,21.33,25.57,37.2,0.0,36.5,1604.2,2,0.56,261.6,168.8,3.49,19.6,0
6.04,26.06,60.37,45.23,39.03,10.44,19.16,396.5,3,1.86,234.7,81.5,8.38,55.3,1
8.09,42.3,88.1,72.11,47.97,8.33,37.23,2157.8,2,0.19,22.2,992.1,2.24,85.6,1
0.68,3.48,6.66,14.17,22.84,0.0,35.32,442.3,3,0.02,171.5,12.6,25.1,21.3,0
3.02,37.28,85.87,96.16,45.67,14.34,24.96,364.2,3,1.24,54.3,402.4,6.64,89.5,1
3.6,14.53,39.62,35.81,39.48,3.99,36.74,304.2,3,1.11,139.1,13.9,2.65,44.8,0
2.48,10.82,15.77,47.84,22.91,0.0,32.62,1735.9,2,0.38,81.6,7.8,25.19,25.5,0
26.26,113.09,303.8,219.82,88.0,48.0,34.16,1257.4,3,0.61,76.6,506.2,2.46,99.0,1
23.14,120.47,271.38,184.7,88.0,48.0,36.22,515.9,2,0.06,255.7,363.5,9.19,98.0,1
8.81,63.53,160.74,146.05,67.99,32.52,31.99,2098.0,2,2.88,121.6,80.8,1.41,100.0,1
5.1,21.97,42.57,58.75,32.57,0.0,38.09,725.7,3,0.65,32.3,568.6,0.45,47.6,0
2.35,18.14,37.39,39.91,33.29,0.34,35.26,985.3,3,0.45,14.1,356.3,3.05,52.8,0
9.0,51.26,134.12,132.44,55.33,18.86,40.02,673.2,3,2.94,325.1,418.1,14.26,97.9,1
3.31,34.14,67.63,51.0,39.06,3.75,31.51,2246.2,2,0.07,20.0,162.7,10.81,58.3,1
3.78,15.99,34.35,36.41,28.83,0.0,26.95,1891.9,5,0.6,158.9,572.0,6.47,31.9,0
3.41,32.8,46.85,69.29,29.57,0.0,29.97,1820.3,2,0.55,82.2,298.5,1.44,36.5,0
0.49,4.11,6.66,41.25,29.0,0.0,48.26,392.4,4,0.55,18.1,506.3,0.84,61.8,0
16.44,94.02,216.08,158.47,72.03,43.22,44.13,1397.7,1,0.02,179.9,59.5,15.85,97.8,1
4.16,19.83,47.67,38.78,47.51,5.85,46.31,1508.5,4,4.91,281.8,136.7,34.82,96.4,1
8.72,47.06,104.26,111.38,54.46,19.79,46.9,1103.3,3,3.59,15.5,364.0,3.86,96.5,1
2.44,20.42,32.69,40.36,18.48,0.0,32.04,975.7,3,0.96,8.3,156.0,26.14,63.0,0
2.7,33.62,68.04,58.03,37.71,6.13,38.51,2089.1,2,1.06,227.5,290.7,10.17,60.1,1
6.83,32.71,62.05,68.56,36.36,1.33,36.64,348.3,3,1.34,83.4,650.8,7.29,72.6,1
3.7,14.94,31.29,66.3,31.11,0.0,41.61,1613.2,4,1.17,134.7,293.9,0.09,55.4,0
27.26,125.21,327.86,220.07,88.0,48.0,33.54,1127.9,4,2.72,69.9,68.2,0.0,100.0,1
10.18,64.31,159.88,143.38,64.96,32.24,36.79,1698.5,2,1.21,63.8,22.7,15.0,100.0,1
23.59,100.96,153.22,130.36,62.18,34.73,36.61,715.6,3,0.38,42.7,57.3,21.35,98.2,1
11.99,80.1,211.98,161.93,74.93,40.17,40.52,801.2,1,0.22,99.3,195.7,7.65,100.0,1
6.5,38.43,79.19,89.95,36.91,1.38,41.57,1532.4,1,4.51,20.9,2.0,9.5,93.1,1
15.97,99.1,241.96,205.73,88.0,48.0,36.8,2357.9,2,0.09,151.6,37.9,1.69,97.2,1
1.53,9.81,15.66,25.49,14.2,0.0,37.05,2346.8,2,4.1,95.7,71.3,9.34,37.9,0
2.5,11.79,27.57,29.38,30.59,0.0,37.92,822.9,4,2.11,225.7,374.6,4.94,48.3,0
1.69,9.99,17.3,57.32,29.63,0.0,50.0,514.9,3,0.93,304.6,9.4,6.67,49.6,0
2.54,18.98,38.22,59.94,29.39,0.0,21.3,1539.7,4,0.37,277.0,9.2,33.33,46.5,0
3.87,31.22,44.44,53.6,32.76,0.0,27.76,1182.0,4,0.67,110.3,144.4,10.59,50.6,0
2.15,24.92,40.18,56.91,38.23,2.4,41.73,1899.5,3,1.36,46.1,35.2,3.08,69.1,1
12.41,69.3,105.95,107.42,45.44,17.85,38.29,1408.8,3,1.93,53.0,49.9,8.1,96.8,1
2.42,20.36,35.34,62.76,26.29,0.0,38.23,1372.2,5,2.12,126.9,36.7,0.27,62.3,1
2.38,22.6,34.8,69.02,26.77,0.0,41.67,1657.6,3,1.07,149.4,156.8,11.0,56.2,1
5.34,27.93,66.17,67.22,45.52,9.94,37.82,565.5,3,0.84,21.1,10.3,12.1,87.4,1
2.44,12.44,17.92,29.85,32.77,0.0,31.25,1722.0,4,2.63,742.8,506.4,15.77,47.9,0
12.84,61.76,139.88,124.71,50.79,15.23,41.34,1325.9,1,4.67,13.6,23.7,9.02,100.0,1
2.74,16.52,26.38,40.86,33.42,0.0,36.18,2022.3,4,4.43,112.1,545.1,6.69,74.4,0
35.23,151.88,413.59,300.59,88.0,48.0,32.2,591.3,2,1.44,90.9,271.0,5.99,95.9,1
14.37,60.07,162.58,129.58,74.84,38.85,41.87,931.6,4,0.15,107.3,316.9,10.18,100.0,1
4.1,18.86,32.36,32.92,31.37,0.0,41.53,2295.5,4,0.14,91.6,34.1,1.89,42.5,0
1.4,7.47,16.88,37.1,24.46,0.0,37.83,1461.5,3,0.93,7.2,199.4,5.45,47.6,0
7.95,60.43,86.97,92.62,51.22,16.43,50.6,2251.5,4,2.38,660.4,305.8,3.32,89.2,1
14.22,57.54,155.6,142.11,67.76,32.32,47.28,1747.0,4,1.24,477.4,147.0,0.24,98.3,1
6.77,53.47,114.0,101.3,65.39,29.56,44.52,2245.5,3,1.78,89.2,144.2,14.05,96.9,1
6.96,60.85,88.87,70.2,50.63,17.18,57.81,967.4,5,3.34,28.0,31.3,26.2,100.0,1
0.97,6.24,11.73,31.29,24.21,0.0,34.76,490.1,3,0.07,24.2,96.3,6.71,29.1,0
2.04,22.79,34.36,62.71,22.58,0.0,32.05,1984.7,4,4.63,7.0,29.4,5.89,89.9,1
2.65,10.75,20.96,37.2,22.38,0.0,43.31,1989.4,3,0.72,113.6,649.2,14.58,34.3,0
12.73,70.72,165.34,143.82,57.68,25.68,33.85,1599.5,3,0.09,78.1,207.8,16.1,100.0,1
6.25,35.76,73.59,75.66,39.32,2.37,36.1,1517.1,1,3.25,64.6,8.9,2.43,78.7,1
5.1,26.63,51.58,49.38,40.0,6.02,27.62,2221.3,2,4.9,89.4,116.6,14.61,83.4,1
0.97,5.9,9.24,46.83,22.56,0.0,41.16,670.6,4,2.63,247.5,182.9,27.27,63.8,1
1.36,15.96,27.82,26.87,33.92,0.0,23.5,1594.7,3,2.94,8.8,18.1,9.79,68.5,1
3.93,21.34,32.87,49.98,31.23,0.0,35.18,404.5,3,3.69,94.3,196.8,13.0,76.8,0
11.56,57.31,145.01,108.66,58.19,22.82,35.87,595.8,3,1.33,144.9,35.1,0.04,99.5,1
5.5,36.45,57.93,45.67,36.75,3.66,32.29,1218.3,2,2.05,423.6,94.3,28.85,71.1,1
17.75,85.03,189.92,151.08,76.01,43.92,21.06,2024.5,3,0.61,161.5,176.8,2.67,100.0,1
2.86,24.16,45.41,57.0,33.55,0.0,21.0,1839.6,3,0.52,95.3,81.8,0.72,28.0,0
0.59,5.0,8.59,42.39,23.31,0.0,29.66,2345.5,5,1.69,174.7,86.3,11.79,39.1,0
4.78,44.51,102.16,104.92,43.99,10.25,40.58,394.2,3,2.39,699.4,334.0,1.55,91.3,1
8.96,62.58,127.64,120.72,53.14,20.95,38.46,1100.8,4,0.91,263.5,66.6,24.53,94.6,1
6.86,30.61,59.99,62.43,50.35,13.57,35.86,633.5,4,0.92,11.2,191.7,0.28,93.2,1
11.54,52.26,116.55,109.18,60.0,21.53,28.48,377.6,2,5.55,102.6,340.5,5.97,100.0,1
4.41,30.4,63.46,72.21,28.93,0.0,38.9,855.2,4,1.32,185.3,29.8,1.2,63.3,1
6.94,38.55,70.35,69.7,25.5,0.0,20.71,813.4,1,7.72,133.7,8.5,2.67,86.0,1
4.75,23.46,51.2,65.16,34.79,0.0,15.63,1182.1,3,3.58,64.7,314.3,7.87,58.4,1
0.87,7.23,16.89,58.61,30.09,0.0,33.93,594.2,2,1.84,46.7,144.2,14.45,46.2,0
0.5,4.59,6.6,17.97,18.73,0.0,31.36,1326.0,3,0.02,118.3,316.5,1.52,8.1,0
1.93,7.85,16.12,56.24,30.64,0.0,44.61,2232.2,3,0.63,63.8,43.1,24.2,57.5,0
8.15,44.07,65.26,49.83,38.63,4.95,37.34,1871.2,4,0.97,59.7,321.8,0.62,77.4,1
5.37,21.77,36.16,42.38,29.15,0.0,50.03,2068.6,5,1.9,217.5,18.0,0.58,76.2,0
4.1,29.85,65.22,60.36,42.8,6.84,31.34,1989.9,4,0.91,45.5,386.5,30.4,88.2,1
17.57,88.08,230.12,182.76,81.24,48.0,40.14,1118.2,3,3.17,124.3,311.2,9.79,97.1,1
1.37,11.64,30.67,30.84,26.87,0.0,33.86,1788.8,3,1.96,248.0,150.8,6.62,29.1,0
2.98,23.99,35.94,68.07,34.08,0.0,47.74,1883.9,4,0.77,116.7,168.7,13.69,71.6,1
8.48,50.8,100.92,107.89,48.07,18.17,34.27,731.9,2,2.76,81.5,76.4,0.0,100.0,1
2.77,20.59,45.64,64.01,44.23,7.41,43.26,2106.6,2,0.65,4.3,40.5,21.13,84.5,1
1.88,17.3,27.78,43.68,31.94,0.0,26.84,1261.3,2,0.12,137.3,109.4,5.95,18.6,0
3.31,26.53,65.56,89.6,42.13,4.39,32.47,334.4,3,0.34,720.2,192.8,0.45,51.1,0
1.65,19.13,46.71,72.75,32.78,0.0,35.29,1651.1,4,0.0,198.3,1166.2,7.86,41.0,0
20.36,101.94,271.62,204.02,88.0,48.0,46.74,1721.2,4,3.21,120.8,305.9,9.28,94.2,1
11.18,68.29,96.42,99.26,45.06,10.51,17.32,1458.7,3,1.78,76.0,102.5,8.95,91.0,1
3.78,39.4,67.11,74.14,40.49,6.36,33.17,746.1,4,1.52,30.5,244.7,6.65,85.9,1
8.87,81.26,207.88,166.58,72.71,42.84,32.88,1312.8,3,1.95,141.4,20.6,0.92,96.2,1
6.22,63.81,149.25,116.91,68.03,37.32,18.35,1140.3,3,1.91,23.4,96.5,0.7,96.6,1
2.66,14.46,38.34,50.72,32.48,0.0,32.06,2346.8,2,1.5,261.7,99.6,1.92,27.6,0
8.59,89.45,132.38,94.56,68.96,41.22,22.9,2031.8,3,3.33,52.4,1214.2,21.38,96.6,1
6.53,31.36,70.11,66.65,53.98,16.81,16.19,1900.0,3,1.05,61.3,89.3,1.18,72.8,1
5.21,62.43,137.13,125.45,62.98,24.3,33.77,680.3,4,2.94,29.2,15.7,0.12,100.0,1
11.4,93.12,135.02,135.66,58.22,29.43,33.48,995.2,4,2.78,78.9,12.5,4.75,97.5,1
3.3,14.24,30.17,67.95,22.77,0.0,33.92,1097.4,2,0.4,136.9,215.7,1.1,15.4,0
2.3,11.37,25.61,46.65,32.6,0.0,38.15,1334.5,1,1.09,43.3,61.4,15.18,38.6,0
2.1,22.75,37.94,56.96,31.88,0.0,28.53,363.5,4,3.24,145.2,365.7,14.27,69.7,0
6.29,28.65,51.08,46.56,37.53,0.0,51.22,1545.3,3,3.2,116.3,118.7,19.88,84.8,1
11.11,67.83,155.77,137.54,73.99,34.57,35.72,1051.5,2,0.04,55.9,72.2,8.75,96.1,1
16.29,72.74,149.53,105.38,56.92,25.23,46.93,1479.5,2,0.45,45.0,256.2,8.36,100.0,1
0.98,5.39,14.03,26.93,18.38,0.0,21.72,318.9,1,0.99,237.1,97.3,16.99,7.9,0
7.41,37.8,71.04,81.25,38.47,2.82,28.91,975.0,3,0.09,1.4,240.7,0.04,81.6,1
6.79,27.3,48.41,50.43,38.48,3.5,41.83,1914.2,3,0.54,151.0,225.4,33.39,72.8,1
1.97,16.51,45.88,37.07,36.18,0.0,34.07,1352.3,4,0.54,64.8,231.2,1.26,41.4,0
1.11,5.96,15.95,52.8,19.09,0.0,26.88,1956.7,5,0.43,151.8,350.2,0.79,22.6,0
2.32,14.66,21.12,32.69,30.45,0.0,20.37,1767.8,2,0.91,85.0,339.6,9.64,14.0,0
9.94,114.66,284.26,192.61,88.0,48.0,42.23,2095.3,2,3.02,10.5,196.6,0.51,100.0,1
1.59,19.32,30.03,27.88,23.38,0.0,41.54,315.6,3,0.5,482.4,566.2,20.96,30.6,0
3.47,34.65,49.84,48.73,33.26,2.45,38.07,848.8,3,1.57,10.8,3.8,1.43,80.7,1
8.32,43.69,77.9,63.65,38.49,5.27,31.78,1452.5,4,1.47,20.7,479.8,5.01,87.2,1
4.6,26.07,46.32,69.95,38.31,0.0,26.54,2276.1,3,3.07,65.4,28.9,10.23,73.5,1
24.17,138.86,353.69,249.37,88.0,48.0,35.55,1727.6,2,0.9,347.2,42.8,0.03,100.0,1
10.55,123.51,295.79,233.47,88.0,48.0,24.82,1258.8,4,0.46,41.6,306.1,0.07,99.4,1
1.92,12.04,33.41,34.54,27.87,0.0,29.61,573.3,4,4.0,100.9,92.1,0.02,58.9,1
7.78,32.79,78.58,78.26,41.27,7.82,46.72,1335.8,2,3.22,88.4,99.7,12.16,92.7,1
3.55,24.02,47.7,66.97,40.62,3.19,20.27,1226.3,2,1.75,48.1,54.5,7.62,58.4,1
3.32,17.83,42.41,61.91,31.33,0.0,41.76,1934.7,3,0.18,143.0,45.8,4.83,42.0,0
3.09,14.51,40.63,58.46,40.34,0.0,48.7,1168.0,2,0.03,83.5,20.2,22.75,50.5,0
9.1,42.65,102.11,112.99,51.83,14.2,42.94,969.6,3,0.36,103.6,39.4,0.51,90.3,1
6.38,37.94,93.57,76.1,32.08,3.62,39.38,488.4,4,0.39,28.3,150.6,2.28,78.3,1
2.53,11.2,30.4,46.98,35.58,0.0,32.06,397.7,2,0.26,313.3,220.7,13.94,21.3,0
1.96,13.4,20.89,58.36,31.33,0.0,30.51,1222.2,4,0.55,14.1,241.7,7.84,54.8,0
20.39,88.26,210.64,145.42,84.69,48.0,16.89,1028.4,4,0.74,140.6,83.2,6.45,94.7,1
1.52,12.61,32.68,28.76,17.68,0.0,36.31,1466.2,2,2.53,260.5,459.1,9.04,26.9,0
2.44,19.11,52.29,49.49,30.66,0.0,32.58,1795.0,3,2.23,10.5,71.7,17.96,69.0,1
3.11,34.94,59.23,71.98,33.05,0.0,30.07,384.0,3,0.2,3.5,21.2,11.12,83.3,1
34.16,158.69,334.12,233.87,88.0,48.0,35.83,1342.1,2,6.8,48.6,522.8,7.66,98.7,1
2.14,14.21,33.44,35.3,39.82,4.84,36.53,2110.1,2,2.51,187.2,140.0,19.91,64.0,0
4.97,41.79,72.99,73.09,40.37,10.56,30.6,1255.8,3,0.32,151.6,639.6,5.18,69.7,1
7.35,61.53,137.87,122.23,58.39,24.84,49.71,1394.6,4,0.24,207.2,90.1,0.1,98.6,1
3.87,16.61,29.24,35.19,31.5,0.0,42.21,1322.3,3,0.16,60.8,254.9,2.84,38.7,0
10.86,48.98,91.44,77.97,49.02,11.93,43.62,1118.6,1,2.37,609.2,21.0,0.75,95.2,1
4.4,25.3,51.05,65.8,14.29,0.0,35.12,531.3,5,0.49,54.7,346.4,4.98,54.0,0
6.58,35.62,76.26,97.13,37.48,5.62,40.35,565.3,4,0.14,196.4,33.7,0.85,73.8,1
6.43,40.03,81.22,88.16,34.26,2.67,28.39,676.1,3,0.99,51.8,12.8,14.71,76.0,1
4.97,33.89,70.84,86.28,42.24,6.78,41.66,1964.4,3,2.22,29.6,18.5,37.4,92.6,1
1.3,5.53,10.06,28.04,21.08,0.0,34.26,878.2,3,0.65,49.3,146.7,12.24,25.8,0
7.9,77.9,126.39,99.41,55.48,25.27,27.31,2291.1,5,1.19,25.7,62.1,1.2,100.0,1
2.52,16.67,24.45,41.33,14.37,0.0,35.81,2001.4,2,0.39,16.6,583.7,0.27,29.4,0
1.27,9.18,15.37,51.31,22.44,0.0,33.52,1737.5,4,1.01,54.3,344.7,11.54,42.2,0
0.74,4.51,9.99,32.03,29.49,0.0,55.75,1812.8,3,0.8,19.1,292.7,1.63,55.9,1
6.76,42.82,107.07,112.7,58.44,22.91,39.7,400.0,4,1.02,83.7,298.6,6.54,94.1,1
7.74,46.0,75.3,98.44,45.4,6.48,49.43,1493.6,4,1.13,4.3,398.4,0.12,97.1,1
0.94,9.07,14.07,17.39,15.93,0.0,45.62,2276.2,3,0.17,67.7,360.7,29.41,32.5,0
4.25,25.43,62.28,47.53,45.0,9.87,36.32,382.1,5,0.18,380.4,474.1,2.86,67.1,1
1.15,9.51,17.37,23.02,29.21,0.0,32.23,911.1,5,0.54,53.3,490.3,2.23,30.0,0
4.78,42.95,117.35,98.57,52.15,15.52,21.21,408.2,1,0.22,17.8,63.8,0.63,85.1,1
1.73,18.96,45.5,40.47,20.59,0.0,28.6,1496.5,2,0.52,43.7,44.6,1.82,19.7,0
11.4,54.38,101.0,109.83,54.0,20.76,41.63,544.0,4,0.04,188.0,185.5,0.04,100.0,1
2.81,18.41,33.24,27.65,25.76,0.0,33.43,1306.4,5,0.78,45.2,23.7,2.52,43.4,0
19.53,104.69,223.32,164.37,84.61,48.0,39.19,1811.9,3,0.43,58.0,42.7,30.51,99.6,1
3.84,18.88,28.52,31.85,28.4,0.0,18.74,645.3,1,4.01,186.6,266.9,0.2,25.5,0
3.99,20.42,31.95,67.69,38.18,0.0,39.85,1886.3,3,3.52,36.2,188.6,7.57,85.4,1
2.67,16.66,27.42,52.95,26.93,0.0,45.32,426.4,2,0.64,78.1,189.4,0.21,41.5,0
13.5,92.52,229.88,195.46,84.28,48.0,20.91,614.2,3,1.16,7.8,541.5,0.21,100.0,1
12.59,87.47,185.39,169.26,81.38,47.89,39.16,888.2,3,5.61,22.9,198.3,21.85,100.0,1
4.1,21.71,30.72,47.34,24.65,0.0,47.42,1971.8,3,1.34,28.2,101.4,0.02,58.3,1
8.51,51.88,121.54,94.55,58.92,19.34,50.28,2085.3,5,3.4,74.7,59.2,14.1,98.0,1
15.62,69.63,138.79,103.93,57.67,24.36,31.72,762.8,3,3.15,206.4,74.4,0.08,99.3,1
7.73,33.81,71.51,61.51,34.01,2.77,42.63,501.1,1,5.1,52.5,58.6,13.75,89.0,1
4.41,40.47,68.79,81.6,39.27,9.23,48.15,2080.7,3,0.66,57.5,6.4,45.97,97.4,1
1.43,13.82,30.03,26.34,32.56,3.07,39.41,1663.7,3,0.08,43.0,54.6,28.56,50.7,0
1.57,8.4,23.28,22.45,34.64,1.78,46.92,631.5,4,0.2,46.4,324.7,9.73,44.3,0
11.83,90.14,135.47,120.42,66.78,32.69,35.7,1471.2,3,1.52,62.0,234.5,0.07,98.5,1
7.67,92.22,165.76,141.64,64.64,33.55,39.35,2132.0,4,1.36,275.6,175.0,2.85,94.8,1
11.33,49.03,85.33,90.4,37.97,5.56,30.72,446.0,5,0.64,3.0,418.5,1.5,92.7,1
2.08,17.56,30.7,41.69,26.68,0.0,34.6,475.8,3,0.51,117.6,55.2,0.05,28.0,0
6.43,27.0,52.12,75.15,27.51,0.0,39.69,874.6,5,2.22,262.4,155.2,11.16,82.4,0
11.39,56.38,143.52,122.3,58.88,31.73,30.08,1669.8,2,0.75,64.7,5.7,16.28,92.1,1
16.89,80.55,215.71,149.96,78.35,41.43,34.1,673.8,3,1.67,126.3,400.6,15.73,99.4,1
9.39,82.15,138.26,130.74,63.08,29.8,42.47,2014.4,1,2.24,105.7,106.9,0.0,100.0,1
6.86,57.22,123.59,128.22,41.37,14.68,53.45,1875.9,2,1.01,49.6,35.3,11.46,92.8,1
6.83,40.52,92.87,68.06,41.6,5.59,18.58,1478.1,3,0.39,17.7,49.2,1.17,68.2,1
1.95,17.82,37.97,47.29,26.28,0.0,52.8,543.7,1,3.55,29.8,339.4,2.52,65.7,0
2.09,15.81,31.75,47.57,36.01,2.09,33.79,2375.3,2,0.18,7.1,20.7,36.02,67.7,0
12.23,90.85,151.61,110.14,55.77,28.49,44.2,1329.1,2,3.18,173.6,466.7,32.03,100.0,1
5.07,47.29,98.52,108.09,48.95,15.27,45.87,1249.4,3,3.26,91.3,84.2,0.08,99.0,1
0.69,5.98,11.73,25.41,22.52,0.0,49.3,2390.7,1,1.52,184.8,52.0,30.23,31.0,0
3.38,15.77,39.65,66.01,37.36,0.0,29.81,2114.1,3,1.79,41.1,72.6,8.37,62.0,1
4.84,44.64,110.21,106.83,54.44,17.48,34.09,1258.4,3,0.8,196.0,94.7,0.6,89.9,1
1.12,13.22,20.99,45.55,26.6,0.0,35.54,1179.5,3,3.32,44.4,143.0,0.01,62.6,0
1.65,8.85,13.48,22.41,20.45,0.0,32.96,501.4,1,0.55,15.5,159.1,12.13,20.0,0
10.34,42.06,112.37,87.97,40.35,10.86,47.21,2245.7,3,1.48,91.6,106.9,2.34,90.6,1
6.06,44.49,95.64,69.29,48.26,14.6,35.35,2071.9,3,0.0,348.7,106.4,52.36,93.3,1
4.19,41.83,108.81,86.56,53.65,18.34,22.24,951.0,3,5.06,64.2,60.5,21.64,99.7,1
3.58,20.23,29.97,40.03,18.94,0.0,30.62,1882.0,4,5.33,86.9,87.2,25.92,85.4,1
11.59,49.5,105.78,111.25,42.22,5.45,22.58,1901.7,2,2.23,72.0,113.3,0.0,85.9,1
3.97,18.6,40.09,47.55,32.74,0.0,34.06,778.6,4,0.99,73.4,163.9,37.38,68.7,1
3.8,20.45,53.26,73.58,36.95,2.89,41.72,1588.7,2,0.35,29.0,25.2,2.36,59.6,1
7.9,59.17,90.92,83.87,39.51,2.23,30.44,835.6,3,1.22,65.9,259.9,0.07,82.1,1
6.91,40.13,69.69,85.62,36.07,5.04,32.57,1958.8,1,2.82,82.4,205.4,10.07,79.7,1
6.41,67.1,132.12,134.81,45.97,14.06,33.66,623.0,4,1.67,163.9,63.9,9.43,100.0,1
8.21,42.01,109.74,87.13,58.99,21.77,37.2,1704.7,3,1.35,18.1,110.7,3.78,99.2,1
7.42,36.52,99.12,108.23,39.95,6.2,40.39,984.6,5,3.41,101.7,528.5,31.32,95.9,1
1.46,5.96,16.64,43.79,27.91,0.0,42.86,376.0,5,0.68,130.2,3.7,23.82,51.2,0
2.66,21.37,58.61,79.87,36.2,0.0,55.17,559.8,5,3.54,57.9,300.2,0.44,96.1,1
1.4,16.79,23.64,49.69,34.36,0.0,37.05,1675.3,2,1.04,95.6,129.0,10.4,44.6,0
1.84,10.65,15.62,34.23,19.62,0.0,42.25,803.8,3,0.0,148.9,173.6,20.85,26.0,0
27.06,135.18,217.19,156.44,81.18,48.0,22.51,1625.2,3,2.37,75.1,207.7,0.44,100.0,1
6.59,30.74,58.06,45.89,26.07,0.0,32.78,1171.1,3,3.78,48.7,109.6,2.38,68.7,1
9.06,80.19,205.43,162.63,65.89,33.0,33.7,1754.7,3,1.19,209.0,38.3,6.92,100.0,1
5.46,43.87,116.25,125.13,56.13,14.81,27.35,1335.2,1,1.09,539.2,432.6,5.14,86.1,1
10.93,65.4,108.67,108.85,39.72,11.85,31.44,947.9,4,2.95,29.3,242.6,23.47,100.0,1
4.19,30.74,69.69,65.03,38.14,0.0,35.09,606.2,5,3.89,264.2,147.6,6.9,95.1,1
9.19,40.62,109.04,113.1,56.6,20.0,31.71,1016.3,3,6.6,94.6,107.1,32.03,100.0,1
4.8,29.9,61.27,79.43,41.64,6.34,58.0,1633.3,3,0.76,71.3,124.5,1.67,84.8,1
3.28,15.17,23.44,32.91,22.58,0.0,40.35,1855.0,5,1.63,268.4,312.2,0.1,41.8,0
8.04,44.97,91.79,65.3,36.17,7.0,53.01,636.7,3,3.12,289.4,2.3,4.02,87.8,1
4.63,21.91,42.2,37.75,34.87,0.0,48.69,1695.0,5,1.37,38.2,360.9,27.84,85.8,1
1.47,10.78,23.81,59.96,34.72,0.0,30.57,676.5,4,1.12,53.2,8.6,2.78,44.5,0
8.16,36.87,74.26,90.91,36.82,2.66,36.32,765.8,3,1.53,229.2,172.2,3.5,70.3,1
1.56,12.35,17.58,29.71,20.1,0.0,32.3,1415.8,4,0.79,81.0,72.9,3.0,28.8,0
19.6,113.42,316.63,223.64,88.0,48.0,34.62,907.3,4,0.38,40.8,204.1,0.06,99.5,1
13.27,114.03,246.4,200.84,88.0,48.0,27.7,1689.4,3,0.12,393.0,16.1,3.37,100.0,1
